"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"달 컬러","Environment","하단 2","Color picker","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정), 포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","달빛의 색상을 설정할 수 있습니다. 색상판 위에 포인터를 올려 트리거로 선택할 수 있으며 오른쪽 컨트롤러 스틱으로 세밀한 색 조절이 가능합니다."
"전체 채광","Environment","하단 3","Color picker","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정), 포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","씬 전체에 퍼지는 주변광(Ambient Light)의 색을 조절할 수 있습니다. 색상판 위에 포인터를 올려 트리거로 선택할 수 있으며 오른쪽 컨트롤러 스틱으로 세밀한 색 조절이 가능합니다."
"조명","Function panel 1","1","Lighting","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","다양한 조명 종류(Directional, Spot, Point)를 설정할 수 있는 진입 패널입니다."
"디렉셔널","Lighting","1","Lighting List (자동생성), DIRECTIONAL Lighting Edit","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","방향성 조명을 생성하고 편집할 수 있습니다."
"조명 이름","Lighting List","1","-","-","조명 이름을 표시하여 구분하여 줍니다."
"온/오프 버튼","Lighting List","2","온 or 오프","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","조명의 활성화 상태를 전환할 수 있는 스위치 버튼입니다."
"삭제 버튼","Lighting List","3","Delete question","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","선택한 조명을 삭제합니다."
"X 회전 값*(반복)","DIRECTIONAL SPOT Lighting Edit","1줄","디렉셔널 각도 조절","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정), 포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","조명의 방향(각도)을 X 축 기준으로 조정할 수 있습니다."
"Y 회전 값*(반복)","DIRECTIONAL SPOT Lighting Edit","2줄","디렉셔널 각도 조절","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정), 포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","조명의 방향(각도)을 Y 축 기준으로 조정할 수 있습니다."
"Z 회전 값*(반복)","DIRECTIONAL SPOT Lighting Edit","3줄","디렉셔널 각도 조절","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정), 포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","조명의 방향(각도)을 Z 축 기준으로 조정할 수 있습니다."
"밝기 조절 **(반복)","Lighting Edit","4줄","조명 밝기 조절","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","선택된 조명의 광량을 조절합니다."
"색감 조절**(반복)","Lighting Edit","5줄","조명 색감 조절","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","조명의 색상을 설정하여 특정 분위기를 연출할 수 있습니다."
"포인트","Lighting","2","SPOT Lighting Edit","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","전구처럼 중심에서 퍼지는 조명을 생성하고 편집할 수 있습니다."
"빛 도달 거리","POINT Lighting Edit","1","전구의 빛이 도달하는 거리","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","빛이 퍼지는 거리의 범위를 설정합니다."
"빛의 감쇄","POINT Lighting Edit","2","빛 끝 부분의 빛 흐림 정도","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","빛의 가장자리 흐림 정도(감쇠율)를 조절합니다."
"스포트","Lighting","3"," SPOT Lighting Edit","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","특정 방향으로만 퍼지는 스포트라이트를 생성하고 조정할 수 있습니다."
"Cone Angle"," SPOT Lighting Edit","4줄","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","스포트라이트의 퍼짐 각도를 조절할 수 있습니다."
"AI","Function panel 1","상단 3","Select AI","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","AI 기반 브러시 생성과 색상 추천 기능을 사용할 수 있는 패널입니다."
"브러쉬 생성","Select AI","1","AI I/O Panel","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","AI를 사용하여 사용자가 원하는 브러시를 생성할 수 있습니다. ※ 이 기능을 사용하려면 AI 및 데이터 활용에 대한 동의가 필요합니다."
"아웃풋 칸","AI I/O Panel","1","예시 보여주고 받아적는 부분","-","사용자가 말해야 할 예시 문장이 미리 제시되며, 사용자의 음성을 인식해 텍스트로 표시되는 칸입니다."
"듣기, 시작, 멈추기 버튼","AI I/O Panel","2","듣고 나서 Brush Edit(자동생성), Color palette(자동생성)","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","음성 입력을 시작하거나 중지할 수 있고, AI의 동작도 멈출 수 있습니다."
"패턴 미리보기 뷰","Brush Edit","상단","미리보기 제공하는 뷰","","생성된 브러시의 패턴을 확인할 수 있는 영역입니다."
"노멀 높이 조절","Brush Edit","1줄","","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","생성된 브러시의 입체감(볼록/오목한 정도)을 조절할 수 있습니다."
"패턴 사이즈 조절","Brush Edit","2줄","","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","생성된 브러시 패턴의 전체 크기를 조절할 수 있습니다."
"컬러 조절","Brush Edit","3줄","","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 이동 후 해제 (위치 고정)포인터가 바에 위치한 상태로 오른컨트롤러 스틱으로 좌우 이동 가능","생성된 브러시에 색감을 조정 할 수 있습니다."
