"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"명도","Repaint","5줄","","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","지터의 명도는 그려진 객체에 다시 칠할 때 입력된 수치 만큼의 밝기 조절을 연속으로 조정해 줄 수 있습니다."
"선택","Drawing panel","상단 3","Select","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","공간에 그려진 객체들을 선택할 수 있는 기능입니다. 선택된 항목은 이후 편집이나 그룹화 등이 가능합니다."
"선택완료","Select","상단 1","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 항목의 선택 상태를 확정하고 편집 모드로 전환합니다."
"그룹","Select","상단 2","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택된 여러 객체를 하나의 그룹으로 묶어 이동하거나 편집할 수 있도록 합니다."
"언그룹","Select","상단 3","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","그룹으로 묶인 객를 다시 개별 객체로 해제합니다."
"스포이트","Drawing panel","중단 1","- ","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 → 뽑은 브러쉬로 변경","공간의  특정 객체에서 색상, 브러쉬모양, 크기등을 추출할 수 있는 도구입니다. 추출된 특성은 현재 브러쉬로 적용 되어 반영됩니다."
"레이어","Drawing panel","중단 2","Layer","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","현재 작업 중인 객체들의 레이어 구조를 확인하고 편집할 수 있습니다."
"추가","Layer","상단1","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","새로운 레이어를 생성합니다."
"위로","Layer","상단2","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 레이어를 한 단계 위로 이동시킵니다."
"아래로","Layer","상단3","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 레이어를 한 단계 아래로 이동시킵니다."
"삭제","Layer","상단4","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 레이어를 삭제합니다."
"레이어","Layer","레이어 칸","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","각 레이어의 이름과 상태를 확인하고 선택할 수 있는 공간입니다."
"눈","Layer","레이어 칸 뒷쪽","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","레이어의 가시성(보임/숨김)을 전환할 수 있는 기능입니다."
"컬러 팔레트 레이어","Drawing panel","중단 3","Color Palette Layer","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","여러 컬러 팔레트들이 정렬되어 있는 패널입니다. 각 팔레트는 그립 버튼으로 잡고 이동할 수 있으며 필요한 위치에 배치 가능합니다."
"Color Palette Layer","Color Palette Layer","Color Palette모음","각 팔라트는 그립을 누른 상태로 떼고 넣을 수 있으며 이동 가능 ","","여러 컬러 팔레트들이 정렬되어 있는 패널입니다. 각 팔레트는 그립 버튼으로 잡고 이동할 수 있으며 필요한 위치에 배치 가능합니다."
"자르기/ 잇기","Drawing panel","하단 1","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 지속, 스틱으로 자르기 / 잇기 스위칭","드로잉된 객체을 끊거나 이어주는 기능입니다. 자르기는 트리거를 짧게 눌러 단일 버텍스를 삭제 할 수 있으며 길게 눌러 여러 단일 버텍스를 삭제할 수 있습니다. 잇기는 연달아 선택된 끝의 버텍스를 이어주는 역활을 합니다.  스틱으로 자르기/잇기를 전환합니다."
"메인 컬러 선택 영역","Color picker","상단 1","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","브러쉬에 적용할 색상을 선택하는 영역입니다. 원하는 색상을 직접 클릭하거나 클릭 드레그 후 놓은 부분을 지점으로 지정할 수 있습니다."
"색조 선택 영역","Color picker","상단 2","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","브러쉬에 적용할 색상의 색조를 선택하는 영역입니다. 원하는 색조을 직접 클릭하거나 클릭 드레그 후 놓은 부분을 지점으로 지정할 수 있습니다."
"투명도","Color picker","하단 1","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","브러쉬에 적용할 색상의 알파값을 선택하는 영역입니다. 원하는 알파값을 직접 클릭하거나 클릭 드레그 후 놓은 부분을 지점으로 지정할 수 있습니다."
"일반 브러쉬","Types of brushes","상단 1","Brush library1","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","기본 브러쉬로 면느낌의 드로잉할 수 있는 브러쉬 종류입니다. 사용자는 라이브러리에서 원하는 브러쉬를 선택해 사용할 수 있습니다."
"브러쉬 라이브러리","Brush library1,2,3","3*3","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1, 스틱으로 페이지 넘기기","브러쉬 종류가 카테고리별로 정리된 패널입니다. 각 항목을 선택 적용하여 드로잉을 시작할 수 있으며, 스틱을 움직여 다른 페이지로 넘길 수 있습니다."
"특수 브러쉬","Types of brushes","상단 2","Brush library2","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","특수한 브러쉬로 입체감과 움직임이 포함된 브러쉬 종류입니다. 사용자는 라이브러리에서 원하는 브러쉬를 선택해 사용할 수 있습니다."
"저장 브러쉬","Types of brushes","상단 3","Brush library3","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1","사용자 브러쉬로 AI로 생성한 브러쉬 종류입니다. 사용자는 라이브러리에서 원하는 브러쉬를 선택해 사용할 수 있습니다."
"그림 공유 방법","","","","오른쪽 컨트롤러의 저장 버튼 → 내 갤러리 → 업로드 → QR코드 공유","작품을 저장한 후 내 갤러리에서 업로드 버튼을 누르면 QR코드를 생성해 친구와 공유할 수 있습니다."
